year,World,      North America,      Europe,      Asia Oceania
1971,5310,1177,1273,282
1972,5373,1238,1189,292
1973,5574,1309,1220,299
1974,5603,1301,1189,304
1975,5717,1293,1095,304
1976,5947,1381,1155,303
1977,6134,1434,1140,300
1978,6298,1419,1137,274
1979,6574,1505,1218,291
1980,6680,1524,1223,310
1981,6740,1605,1225,325
1982,6774,1544,1216,340
1983,6949,1629,1216,331
1984,7262,1725,1194,357
1985,7489,1773,1265,380
1986,7566,1728,1245,369
1987,7883,1809,1244,376
1988,8147,1900,1227,402
1989,8242,1916,1234,412
1990,8393,1944,1198,442
1991,8346,1934,1148,448
1992,8221,1941,1064,449
1993,8239,1984,987,455
1994,8250,1992,981,466
1995,8590,2050,957,480
1996,8658,2129,947,495
1997,8705,2228,897,506
1998,8711,2211,884,497
1999,8540,2194,839,519
2000,9000,2310,871,545
2001,9234,2309,876,561
2002,9437,2222,879,580
2003,10161,2262,912,595
2004,10828,2281,896,609
2005,11542,2302,872,621
2006,12190,2267,885,620
2007,12874,2303,891,638
2008,13027,2250,802,619
2009,13040,1971,693,610
2010,13959,2085,727,641
2011,14721,1967,739,618
2012,14848,1737,794,636
2013,15207,1790,774,655
2014,15224,1782,714,637
2015,14730,1542,692,637
2016,14505,1433,607,632
2017,14737,1401,581,632
2018,15121,1327,544,610
2019,14886,1133,415,597
2020,14308,915,326,556
2021,15186,1042,379,570
