Year,2015,2016,2017,2018,2019,2020,2021
Total (billion $2019),449.5,415,427.5,432.9,429.6,363.7,398.8
Supply (by type),396.4,362,377.2,384.1,381.3,318.3,346.9
Fossil fuels (fuel supply & power),264.9,226.3,248.2,249.9,238.1,169.3,191.8
Renewables,57.7,55.4,47,56.3,63.4,62.2,65.3
Electricity networks,66.7,69.6,70.5,71.3,74.6,78.9,80.6
Other supply,7,10.7,11.5,6.6,5.3,7.9,9.3
End-use,53.1,53,50.3,48.8,48.3,45.5,51.9
Energy efficiency,51.9,51.9,49.1,47.3,47.2,44.4,50.6
Renewables and other end-use,1.2,1,1.2,1.5,1.1,1.1,1.3
Fuels,249.3,209.3,232.9,236.8,226.1,153,174.9
Oil,154.6,125.2,139.4,144.2,140.5,94.5,106.3
Gas,89,78.3,88.4,88.4,81.7,55.8,64.4
Coal,4.2,4.3,3.4,2.7,2.5,1.5,1.3
Low-carbon fuels,1.5,1.6,1.8,1.5,1.3,1.2,2.8
Region,North America,North America,North America,North America,North America,North America,North America
